game_title,region,url,content_id
SRW OE Strong Part Content 1 (Chobham Armor SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/XcHBzchmzUxByWbpylFrnvwEfiIlsjLKnicvPzVWTbPqEGGJAnpABJhuFUrXsLnuzTaikhpIcSjtJUWjZVuLJDRnByliNtxiWnfnT.pkg,JP0700/NPJH50521_00
SRW OE Strong Part Content 2 (Power Frame SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/LCdasyMOgCyBoswyIjTBYpZYTKIwFggvAyUzVpBIqEBIEIIOyJBOySCkGoTUbApADOphPyijewYWDhwtKabQrCXyqhFYFbZUudmAs.pkg,JP0700/NPJH50521_00
SRW OE Strong Part Content 4 (Hyper Jammer SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/GTglCvfPcgmDxlzfjphyTboCoZJIVaqFQCklgbmCpgDbFvWJwlIdLJjlEMaCQWjiWmlsNoIIRpfMdMqMsfyAuisXUGZZyAUyCCzhb.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 1,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/WJpPklwqZjOpMeAihhmeotDRIsqNIbRwveeLmfyuhBCDVgnGiEgzeJHVBAvRqBEYwKteDxemXSbUdStCakDRWGYKQeTAgETvRAcQP.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 2,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/fBdMvRapwTSkrtodgzzhNLSNANkPwUXtOLEQWncpdamwizXBDjUiRyQmSFpRakvJPvXulzpdxjTLcqUSriXXKNkJmSzIBqTmkvoNX.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 3,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/DpjlvYhaxCGxkHSXWsNMyIPFIbcKTtSWstjEFbVHEbjHOpTAeplgjUVLVdDnNuyfVZTOTHEaXtNtsgynufnBeWvMhlXSoBRGBrMAY.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 4,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/gsGgmwjSwleAxYMMEqFbMHNmEAuELVWZgBmxIPuggNPsOKURiErHfbPzHaVvZLAGxdCkVfMAtLIxyQqxKLQtFnLHzTPgQZZHMLqhx.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 5,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/SVqHnxRESJJjGebwQfEdYtUBRRKMkSyiNamjltENnDuHfgobXzgOqKDfiLAxiDKNzdzJWYXDmTOiWKRhybJNaJKdKbiidWWloLYwO.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 6,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/GPsWRzYwLKaozglnoAtRgoSuNSRodBBessUqICRILZWqNckHkfyiPfDxuizedovlHxhKEFdetMJYnbDwHjqVMLGTHRRIvvCNUeniH.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 7,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/PJECmwIDQHSMEAVuYRTkSwWtaVRKRWbkNPNdPUgXcRVwlCtPKlFSOORLhrRBQeibCLKyfwfefzIPkgwhohwMyzegPRuTxJTsKdKes.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 8,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/MAKQqDoZmZkxfHkJQWRTJwqMjDLrnLhNmvqAUDOGEwCDJcdeERAZcnbfdjMNBaeiFPCoyCwhDDwdTRyvwaGIeYLbNzdHHaOdQaiop.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Cybuster,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/ALfzgAIDMMHxQOwVnnoLIgmaAvQeOfcJayOFCMakxbRqLxvbLrIbHbXARQfTmBWuQmCHGrwhItikEBbSeWIgcrqzwSIdCWmaOtIIG.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 01,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/KJOsyHNqABwLEgoGlxDVflVMoFbtHysxVFLrMigIkMPGaownpCgWZgrTYVcdEBFrXslHFzdoxsQqjOpafAMuPJSUtsYVmikexOCHO.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 02,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/yVLykahBUMzJziNwwLvPMAbWBgAZvLKzrJomFkznSrRJZezQqLNNYmcNqPuaUMPDSQinPxNnTdEQBCBRuVrhgYFbUCRsfRJSKuOOn.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 03,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/DFpuxzWdwgEMLRRbFJavPtftlTRtTDCIvbJcuatLUMopBUDZlgfNFfniYimBMNtCYspffFCdZklQiQXwRwwUTUNkGompHziGtMSep.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 04,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/BIThTFiOLaBdYhLObjbrxxzigJYADqbLySOXzgrfgUOwrmEinXmWzBekxQczdbVgNsRRTExTfithJGjqaXojMvNpYIMEesiCtOZkB.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 05,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/BVUgLIjlOkPzUqfCKyVjmxtnzYyEhkLWlVBbrZqgoRGVqWZWupXWpvroYqLKpIHCGdIuznOSfMzsuKOsRfpBfLUpVFoqKvVhAYSqZ.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 06,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/HyduNSrYkksbvKfqXDMNqHOCcLNNeOhfumPumTcpXtcVcesdDRZczWsnWcxqNvwcNbKrcfHREMrEIOUSwKzDixlQlkmOdSNbBYlpB.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 07,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/rlKDqxIBWgyLRSpdlGJriIBNfcRglFpPtoZPzcJXeVhiiBwDeAbflhxUTgCiKPZnHWpxAsQZwwtzkcvgsBSZcwcuiYmOCybUsnRVw.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 08,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/tSPeqsLyDwyQOueHLXvGknfostvcRkHTVAXinhSDjJUjGDBdvyqjjnDFDsaZfOreBYHYFWOLtOOJaGqGAnyovQVFEeGJMghcpgKQN.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 09,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/rLKaVNvtpdeSiZktQIfhlwgtMBhncyYjtHeFxSFVGNubwAzcQdMHbETBSVFeFGGDawWQcecVYDrUIIQhmbfdDqbCuBHetkxzOFQdi.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 10,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/XrEPAZEzIyJrNBAIAqYdkhZLjjJpzSBQnwqHICffhzSekqFUcGsLlVpBEVekHNovaVjKVkcbSoQaKVCqCzSHXucpfVUESNMohYvJY.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 11,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/yiSUUucnKEzKtmGAzdbwdpTEISjGnpiHHpOxlvOtKBLvnHjnbolAAJyTvesWiAtwGtCGcIaFSxtpFAHOugDPUzTCIANxmibYQQtVN.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 12,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/CbMiWVXdxNIXIPTZYMCIbWvvaAsGIJvQtiZucUuvEgJfBEYGOdAWrmlhKgDPXBkqnIipIQqJIEHNVOveTCKhUKLWHhklptBudAtkt.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 13,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/FBExizUOvPyDRkIKhBlZBPUrgjLyprgijKgDwrUrgNRnWTEWKfFNrDnxmQHKsMPfgXDPgresWTpbyQndGMnIbVOcWSZewyELpwUOf.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Prologue (ISO),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/IKujMdBqGrHYInmXhHwDTaWkQvoRiBokOWBvYAlgqHRNYFCfwfwpaWirXOoFVuBRJbvlySgHaGQcrxIJuoQQvURHibXQdolNAaQrO.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Real PG Gundam,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/oIxkPTdhFFaOtnMzByTqqZmiQvXGAZrjlQoJNaGITDccYqmQILPUfIUNPumrOqBcAyStsAvttmjvRgsGUrTGgHXQVeTUWgFzYUuQa.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Prologue (ISO) v2,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/dvAQXkSEXnugZyPEdFDhOzVgrIfnFLDcoSGmJzmGzGPUadhMqprsgsqUcrHNJkyFwUoAUIlWfIEnwTrlwDouSAElPDGhfbpqBxqkm.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Bulletproof Tank""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/TjhZKvISBbWrFnXtRVPYmYGSMXVbbPKEDeywDcgPrhGFVVKiqPXAwignFbRBFzHhynVDbrLDnpQFBmdldogCYBVTTJbOXFqTiVcTL.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Special Armor-Piercing Rounds""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/QeJIOnYtGFqkbrKLIVLNmwSqiYmfNEuSyXZnjidkqBVppPeBBmhzsehOGtcKdtpuTSYnngNKVseClBtckwdFYimWKtNrMBJEjyhxK.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Energy Chip""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/aYtXzBqxJbIsyJERujCcSpGIdjiKtkyitQnCAuKdtBAwOjfYRGtTOGApwOqnpSERKzsWnOArICjFSRRtrPOWeouvxMXraFctpBRFu.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Multi-Repair""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/yWbSexhUNGyKeThkhppNkEQHxPXZHBWnwkIFtEuzYhSxXycBscFmbsIxeQSqxSwcrgrXkUcraNtXoIsMCIWDapCrYOEgMLIIhUxyt.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Kenta's Pocket Computer""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/TMyWCFiTwCdGvFTThCQtSUQYCfRWIUtuDosWkuRDcmBoMzgXixbviAaNMlPAFTsHpSkoLQPVmsZumMiYDvXFkfsprpvQFTSmFtizB.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Mistrune""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/WnTVNmbRnsTbmNLReVvNabZRowjduqcYsGrueUTWcnornPFsXYgvuNAxlQRKgawEuJRvUFbXjSdxgNumQhDnkadlknLynkzpolMWs.pkg,JP0700/NPJH50521_00
"Super Robot Wars Operation Extend Additional Content: ""Pink Haro""",JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/pQYpqqYRmBSBiEKWQOWTfDMEcYAzBwQHFlPDZFhCtqcqJiaBVtnMjlVqomdRMvGrznWOnFzwlUXenAUPNUhmomQoTwZwNLGmkMdHu.pkg,JP0700/NPJH50521_00